ID: 1 | Disease: Diabetes | Title: "Indian  Kala Chana Salad" | Category: "Snack" | Image: "/images/diabetes/029636de523e6a8f8d4f5c644ec32121f2eba7f1.jpg"
ID: 2 | Disease: Diabetes | Title: "Besan Burji" | Category: "Breakfast" | Image: "/images/diabetes/076beb40e154af09ad654dfdfd3cefb3607a5013.jpg"
ID: 3 | Disease: Diabetes | Title: "Mullangi Curry" | Category: "Lunch" | Image: "/images/diabetes/087c7ef515f6f15022e9a86fc48243ef3874e868.jpg"
ID: 4 | Disease: Diabetes | Title: "Homemade Paneer" | Category: "Dinner" | Image: "/images/diabetes/0b923dfb94c5f1b6c18d5351853e4806527a0e78.jpg"
ID: 5 | Disease: Diabetes | Title: "Easy Creamy Chicken Curry" | Category: "Dinner" | Image: "/images/diabetes/0bef29c86c3eded58000e46504790af1bd166fd7.jpg"
ID: 6 | Disease: Diabetes | Title: "Moong Dal Tikki" | Category: "Snack" | Image: "/images/diabetes/0e6695e74beaf07ab6cee1fd1afbbc588cc06ad5.jpg"
ID: 7 | Disease: Diabetes | Title: "Beetroot Sambar" | Category: "Dinner" | Image: "/images/diabetes/0fca8d0c1cb22a2554c75a3406374fdff2526758.jpg"
ID: 8 | Disease: Diabetes | Title: "Roasted Cauliflower" | Category: "Dinner" | Image: "/images/diabetes/1100942e0c7ebba2dee0d63667892e2adece24a2.jpg"
ID: 9 | Disease: Diabetes | Title: "Masala Cornflakes Chicken" | Category: "Dinner" | Image: "/images/diabetes/12bc7385c3ecdf208d44433274e27bf4f823c434.jpg"
ID: 10 | Disease: Diabetes | Title: "Mushroom Paratha" | Category: "Breakfast" | Image: "/images/diabetes/13811c04a97e0bf8bfe6176484257d04e1eb3121.jpg"
ID: 11 | Disease: Diabetes | Title: "Watermelon And Corn Salad" | Category: "Snack" | Image: "/images/diabetes/14373b5c0eb92acdb1813fb9999887517228e833.jpg"
ID: 12 | Disease: Diabetes | Title: "Vegetable Clear Soup" | Category: "Drink" | Image: "/images/diabetes/1b6d026315d4ac806ac3c9d4bfa4b51b19e0c457.jpg"
ID: 13 | Disease: Diabetes | Title: "Foxtail Millet Pongal" | Category: "Breakfast" | Image: "/images/diabetes/1efaf32f83baac563ab1646be0cfc206819497e0.jpg"
