Title: "Stewed Plums with Cinnamon" | Raw Category: "Snack" | Image: "/images/bp/BPFoodItems_extracted/page_001.jpg"
Title: "Simple Stewed Apples with Cinnamon and Cardamom" | Raw Category: "Snack" | Image: "/images/bp/BPFoodItems_extracted/page_002.jpg"
Title: "Ragi Semiya Payasam" | Raw Category: "Snack" | Image: "/images/bp/BPFoodItems_extracted/page_003.jpg"
Title: "Fruit Custard" | Raw Category: "Snack" | Image: "/images/bp/BPFoodItems_extracted/page_004.jpg"
Title: "Chicken Clear Soup" | Raw Category: "Drink" | Image: "/images/bp/BPFoodItems_extracted/page_005.jpg"
Title: "Rasam" | Raw Category: "Drink" | Image: "/images/bp/BPFoodItems_extracted/page_006.jpg"
Title: "Grilled Indian Boneless Chicken Tikka Breasts" | Raw Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_007.jpg"
Title: "Egg Bhurji (Indian Scrambled Eggs)" | Raw Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_008.jpg"
Title: "Chicken Stew" | Raw Category: "Lunch" | Image: "/images/bp/BPFoodItems_extracted/page_009.jpg"
Title: "Northeast Indian Style Steamed Fish with Ginger and Spring Onion" | Raw Category: "Drink" | Image: "/images/bp/BPFoodItems_extracted/page_010.jpg"
Title: "Traditional Indian Fish Curry" | Raw Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_011.jpg"
Title: "Tandoori Gobi" | Raw Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_012.jpg"
Title: "Paneer Bhurji" | Raw Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_013.jpg"
Title: "Minty Roasted Makhana" | Raw Category: "Snack" | Image: "/images/bp/BPFoodItems_extracted/page_014.jpg"
Title: "Veg Cutlet" | Raw Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_015.jpg"
Title: "Moong Sprouts Chaat" | Raw Category: "Snack" | Image: "/images/bp/BPFoodItems_extracted/page_016.jpg"
Title: "Indian Spiced Vegetable Cutlets" | Raw Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_017.jpg"
